,time,BlkCnt,PriceBTC,PriceUSD,HashRate,DiffLast,BlkHeight,Reward,BTCGenFrmBlk,totalBTC,btcSupplyOnDate,s2f_ratio_10,s2f_ratio_usd_10,s2f_ratio_463,s2f_ratio_usd_463
1970-01-01 00:00:00.000000061,2009-03-05,112.0,1.0,,5.5675501985e-06,1.0,6462.0,50.0,5600.0,323100.0,,,,,
1970-01-01 00:00:00.000000062,2009-03-06,117.0,1.0,,5.8161015466e-06,1.0,6579.0,50.0,5850.0,328950.0,,,,,
1970-01-01 00:00:00.000000063,2009-03-07,109.0,1.0,,5.4184193896e-06,1.0,6688.0,50.0,5450.0,334400.0,,,,,
1970-01-01 00:00:00.000000064,2009-03-08,115.0,1.0,,5.7166810074e-06,1.0,6803.0,50.0,5750.0,340150.0,,,,,
1970-01-01 00:00:00.000000065,2009-03-09,108.0,1.0,,5.36870912e-06,1.0,6911.0,50.0,5400.0,345550.0,,,,,
1970-01-01 00:00:00.000000066,2009-03-10,107.0,1.0,,5.3189988503e-06,1.0,7018.0,50.0,5350.0,350900.0,,,,,
1970-01-01 00:00:00.000000067,2009-03-11,114.0,1.0,,5.6669707377e-06,1.0,7132.0,50.0,5700.0,356600.0,,,,,
1970-01-01 00:00:00.000000068,2009-03-12,118.0,1.0,,5.8658118162e-06,1.0,7250.0,50.0,5900.0,362500.0,,,,,
1970-01-01 00:00:00.000000069,2009-03-13,113.0,1.0,,5.6172604681e-06,1.0,7363.0,50.0,5650.0,368150.0,,,,,
1970-01-01 00:00:00.000000070,2009-03-14,110.0,1.0,,5.4681296592e-06,1.0,7473.0,50.0,5500.0,373650.0,,,,,
1970-01-01 00:00:00.000000071,2009-03-15,123.0,1.0,,6.1143631644e-06,1.0,7596.0,50.0,6150.0,379800.0,,,,,
1970-01-01 00:00:00.000000072,2009-03-16,121.0,1.0,,6.0149426251e-06,1.0,7717.0,50.0,6050.0,385850.0,,,,,
1970-01-01 00:00:00.000000073,2009-03-17,114.0,1.0,,5.6669707377e-06,1.0,7831.0,50.0,5700.0,391550.0,,,,,
1970-01-01 00:00:00.000000074,2009-03-18,114.0,1.0,,5.6669707377e-06,1.0,7945.0,50.0,5700.0,397250.0,,,,,
1970-01-01 00:00:00.000000075,2009-03-19,122.0,1.0,,6.0646528948e-06,1.0,8067.0,50.0,6100.0,403350.0,,,,,
1970-01-01 00:00:00.000000076,2009-03-20,118.0,1.0,,5.8658118162e-06,1.0,8185.0,50.0,5900.0,409250.0,,,,,
1970-01-01 00:00:00.000000077,2009-03-21,50.0,1.0,,2.4855134814e-06,1.0,8235.0,50.0,2500.0,411750.0,,,,,
