,time,StockBTC,RewardBTC,FlowBTC,s2f
0,2009-01-01,50.0,25.0,1314000.0,3.805175038051751e-05
1,2012-11-28,10274450.0,25.0,1314000.0,7.819216133942161
2,2016-09-07,15351625.0,12.5,657000.0,23.36624809741248
3,2020-05-11,17966412.5,6.25,328500.0,54.69227549467276
4,2024-05-01,19476606.25,3.125,164250.0,118.57903348554034
5,2028-05-01,20239503.125,1.5625,82125.0,246.44752663622526
6,2032-05-01,20620351.5625,0.78125,41062.5,502.169901065449
